ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-31498,@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 #hilarious,False,False,False,False,True,True,True,False,False,False,False
2017-En-21886,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",True,False,True,False,False,False,False,False,True,True,False
2017-En-21963,"tesco. why OH why cant my Visa electron be accepted on line , I am 55 , NOT 15 ?? #shocking",True,False,True,False,False,False,False,False,False,True,False
2017-En-10637,I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC,False,True,True,False,False,False,False,False,False,False,False
2017-En-21041,@RobdotThom @sulphurhoops in fact they need to start making all holidays! Maybe even e dry month pick a theme so we can have them all year,False,False,False,False,True,False,False,False,False,False,False
2017-En-30908,"&amp; as much as I hate for a dude to cheat, women forego pleasing their man, they get lazy &amp; men get lazy &amp; then it's just pointless",True,False,True,False,False,False,False,True,True,False,False
2017-En-10886,@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,True,False,True,False,False,False,False,True,False,False,False
2017-En-31587,Root canal therapy has had a bad reputation in the past... but new technology has allowed more comfortable procedures! #smile #dental,False,True,False,False,True,False,True,False,False,False,True
2017-En-41135,tim burton never fails to depress me,True,False,True,False,False,False,False,False,True,False,False
2017-En-10016,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,True,False,True,False,False,False,False,False,False,False,False
2017-En-40903,Don't ever grow weary doing good....Don't just see the headlines; look at the trend lines for hope.' @billclinton #CGI2016,False,False,False,False,False,False,True,False,False,False,False
2017-En-21457,"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfulness #success",False,False,False,False,True,False,True,False,False,False,False
2017-En-10903,@LiamCannon1 He's just too raging to type properly... Ha ha!,True,False,False,False,False,False,False,False,False,False,False
2017-En-30510,@PeanutRD @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen  hey #sparkling is the word I just picked 4 my biz card,False,False,False,False,True,False,False,False,False,False,False
2017-En-10499,streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,False,False,False,False,True,False,True,False,False,False,False
2017-En-41270,Way to get a hold of her 😊 #depressing,False,False,True,False,False,False,False,True,True,False,False
2017-En-21505,@peterdaou What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate,True,False,True,False,False,False,False,False,False,False,False
2017-En-41069,ok yes I get it as much as the next guy -- bikes blues &amp; bbq is frustrating &amp; loud!!! but these ppl are traveling from all over to come --,True,False,True,False,False,False,False,False,False,False,False
2017-En-30600,Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,True,False,True,False,False,False,False,False,False,False,False
2017-En-30219,@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless,False,False,False,False,True,True,True,False,False,False,False
2017-En-11076,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD,False,False,False,False,True,False,True,False,False,False,False
2017-En-11036,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,True,False,True,False,False,False,False,False,False,False,False
2017-En-21551,Do not #worry about anything but #pray about everything.,False,True,False,False,True,False,True,False,False,False,False
2017-En-41086,Meghan is teaching the blues in keyboard fundamentals II and all these classical majors are like WTF?!,True,False,True,False,False,False,False,False,False,False,False
2017-En-21039,Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle  #dosomething #success,False,False,False,False,True,False,True,False,False,False,False
2017-En-40848,It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,False,False,False,False,False,False,False,False,False,False,False
2017-En-30103,"I love seeing happy women, that glow is something real.",False,False,False,False,True,True,True,False,False,False,False
2017-En-30179,"if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha",False,False,False,False,True,False,True,False,False,False,False
2017-En-20387,"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS 😁and pick up my new flat keys ",False,False,False,True,True,False,True,False,False,False,False
2017-En-31244,Miss my lil caramel delight 💓,False,False,False,False,True,True,False,False,True,False,False
2017-En-10103,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,True,False,True,False,False,False,False,False,False,False,False
2017-En-20395,.\nWe express our deep concern about the suspension of   \n@MohammedSomaa01  please reactivate it. he never violated T.roles @Support,True,False,True,True,False,False,False,False,False,True,False
2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,False,False,False,False,True,True,False,False,False,False,False
2017-En-21469,"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing.  #unhappy #mean #troubled #vile #bully",True,False,True,False,False,False,False,False,True,False,False
2017-En-21005,My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ,False,False,False,False,True,False,True,False,False,False,False
2017-En-21148,This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,True,False,True,False,False,False,False,False,False,True,False
2017-En-40753,"A tummy full of steak, wine, key lime pine and cuddles on tap. What a way to turn around a stressful Wednesday 💛",False,False,False,False,True,False,True,False,False,False,False
2017-En-21965,Remember your journey is unique! Don't get discouraged because you're comparing your journey to someone else's. You will get there!,False,True,False,False,True,False,True,False,False,False,True
2017-En-31215,Happiness is a choice life isn't about pleasing everybody #ALDUB62ndWeeksary,False,False,False,False,False,False,True,False,False,False,False
2017-En-20536,#Terrorism can be destroyed easily if #wholeworld came together great strength..they could destroy this #fear from #humanity..,False,False,False,True,False,False,True,False,False,False,False
2017-En-31209,"Why bother tweeting poor men's? \nWhat good does it do?  If I'm unable to be cheery,  I go quiet.  Missed you,  btw",False,False,False,False,False,False,False,False,True,False,False
2017-En-20377,I really want to go for fright night but I really don't 😁,False,True,False,True,True,False,False,False,False,False,False
2017-En-10527,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",True,False,True,False,False,False,False,False,True,False,False
2017-En-30635,"@MalYoung @AngelicaMcD I hope to now see some levity, light, romance and happiness come Stitch and Abby's way after such a long hard road.",False,True,False,False,True,False,True,False,False,False,False
2017-En-21130,"I polished my nails, but can't find the polish remover. It look like a 3yr old polished my nails lol ",False,False,True,False,True,False,False,False,True,False,False
2017-En-41245,"I lost my wallet, then found it, then lost it again AND THEN FOUND IT!!!!! \nCollege is brazy",False,True,False,False,False,False,True,False,False,True,False
2017-En-31185,We have been a better second half team this season. So there's that. #optimism,False,False,False,False,True,False,True,False,False,False,True
2017-En-20812,Rojo is a terrible defender,True,False,True,False,False,False,False,False,False,False,False
2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",False,False,False,False,False,True,False,False,False,False,False
2017-En-21745,@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. #ghastly,True,False,True,True,False,False,False,False,False,False,False
2017-En-31338,@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious,False,False,False,False,True,False,False,False,False,True,False
2017-En-11534,@lericoo 35. Do you hold a grudge against your ex?,False,False,False,False,False,False,False,False,False,False,False
2017-En-11212,I can already tell this programme is going to infuriate me #ExtremeWorld,True,False,True,False,False,False,False,False,False,False,False
2017-En-30854,So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,False,False,False,False,True,False,False,False,False,False,False
2017-En-41079,I wonder if the #wolfcreek TV show is sponsored by the anti-tourist board of Australia to discourage visitors? #stayathome #dontvisit,True,False,True,False,False,False,False,False,False,False,False
2017-En-20420,@LonelyGoomba UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops.,False,True,False,True,False,False,False,False,False,False,False
2017-En-20351,Sickness bug! #awful,True,False,True,False,False,False,False,False,False,False,False
2017-En-21026,I like cycling because I get to intimidate people with my powerful calves &amp; horrendous tan lines.,False,False,False,False,True,False,False,False,False,False,False
2017-En-21691,@1StevieKilner @KachelaMurray Don't be silly - she doesn't want to scare them off! 😆,False,False,False,True,True,False,False,False,False,False,False
2017-En-40004,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,False,False,False,False,False,False,False,True,True,False,False
2017-En-30159,What an exhilarating last minute of overtime #WCH2016,False,False,False,False,True,False,False,False,False,False,False
2017-En-11310,"@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup",True,False,True,False,False,False,False,False,False,False,False
2017-En-40032,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,True,False,False,False,False,False,False,False,True,False,False
2017-En-40404,Brad Pitt being investigated for child abuse?! this all just got really #dark,True,False,True,False,False,False,False,False,True,False,False
2017-En-40548,Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB,False,False,False,False,True,False,False,False,False,False,False
2017-En-40979,Thank you @Pret 4 giving me a free coffee for bringing my reusable cup to the airport because it was 1st time you saw one. But #depressing,False,False,True,False,False,False,False,False,True,False,False
2017-En-10630,@edquinn63 how can you even forget to pick ur fave child up from school ,True,False,True,False,False,False,False,False,False,False,False
2017-En-30601,"every day i have to think in my mind will this be pleasing to God. my decision making, the way i react, treat ppl, speak, am i pleasing God.",False,False,False,False,False,False,True,False,False,False,True
2017-En-31419,Finally have all my braces on and I can't stop smiling 😊😊😊😊😊,False,False,False,False,True,False,True,False,False,False,False
2017-En-21874,Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,False,True,False,False,False,False,False,False,False,False,False
2017-En-40348,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,False,False,True,False,False,False,False,False,True,False,False
2017-En-21978,The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,False,False,False,False,True,False,False,False,True,True,False
2017-En-20472,"@Mc_Cabe_Conor This is it. The complete illiteracy around the role, nature and extent of British agents is shocking.",True,False,True,False,False,False,False,False,False,True,False
2017-En-22092,@salutetroye you look adorable awe,False,False,False,False,True,True,False,False,False,False,False
2017-En-20269,@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,True,False,True,True,False,False,False,False,False,False,False
2017-En-11501,dammit @TMobile whays going on!!! 😤😤😤😤 lol  #smh #mobilefails,True,False,True,False,False,False,False,False,True,False,False
2017-En-21013,@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers ,True,False,True,False,False,False,False,False,False,False,False
2017-En-21294,😫 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,True,False,True,True,False,False,False,False,False,False,False
2017-En-20147,Can we go back 2 weeks and start again ?? This is seriously dreadful,False,False,False,False,False,False,False,False,True,False,False
2017-En-41063,Rooney = whipping boy. #mufc ,False,False,False,False,True,False,False,False,False,False,False
2017-En-41302,@lefluerr Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me 😂😂!!,False,False,False,False,True,False,False,False,False,False,False
2017-En-20200,@katlute which one....the one where u threaten violence? Or the phedophiliac u support?  Or the constitution violations he proposes?,True,True,True,True,False,False,False,False,False,False,False
2017-En-30758,I truly believe in my heart right now that Satan is rejoicing because we are all against one another,False,False,False,False,True,False,False,True,True,False,False
2017-En-30874,@harrietemmett great minds think alike. #rejoice,False,False,False,False,True,True,True,False,False,False,False
2017-En-20803,"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful",True,False,True,True,False,False,False,False,False,False,False
2017-En-30476,A cheerful sloth annotated old books about a very good man then the gods ended evil.,False,False,False,False,True,False,True,False,False,False,False
2017-En-10613,"Y'all really insult coz of soccer???  Lmao, wow!!!!!!",True,False,True,False,True,False,False,False,False,False,False
2017-En-30517,Not my fault if I'm more observant than you thought of me to be ! 😜 I'm not sorry 😝 #wisdom #laughter #observingyou #allthetime #becareful 😎,False,False,False,False,True,False,True,False,False,False,False
2017-En-22206,I wish harry would start tweeting people again,False,False,False,False,False,False,False,False,True,False,True
2017-En-41385,@wombletheballer well done bro😏 #blues #stategames #captain #shootthegerman,False,False,False,False,True,False,False,False,False,False,False
2017-En-21185,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,True,False,False,True,False,False,False,False,True,False,False
2017-En-40449,Positive thoughts on these gloom cloudy days,False,False,False,False,True,False,True,False,False,False,False
2017-En-30289,"@LoisJoanneLane Wagging his tail at the praise, he paused, tilting his head as she took the frisbee from him, letting out a playful -",False,False,False,False,True,False,False,False,False,False,False
2017-En-21847,"Shriekfest is lining up VOLUNTEERS! Oct 6-9, only serious inquiries please!  shriekfest@aol.com  see free films! ",False,True,False,False,True,False,True,False,False,False,False
2017-En-31470,My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #optimism,False,False,False,False,False,False,True,True,True,False,False
2017-En-30414,"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",False,False,False,False,True,False,False,False,False,False,False
2017-En-10911,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,False,False,False,False,True,True,False,False,True,False,False
2017-En-22173,Democracy doesn't work\n #mob #mentality #mass #hysteria  #mongering #oligarchy,True,False,True,False,False,False,False,True,False,False,False
2017-En-40207,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,True,False,True,False,False,False,False,False,False,False,False
2017-En-31106,"Not by wrath does one kill, but by laughter.  Friedrich Nietzsche #friedrichnietzsche",False,False,False,False,True,False,False,False,False,False,False
2017-En-21627,Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,False,False,False,True,False,False,False,False,False,False,False
2017-En-40211,@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost,False,False,True,False,False,False,False,True,True,False,False
2017-En-40301,I mourn the creativity lost.,False,False,False,False,False,False,False,False,True,False,False
2017-En-30747,Rap that will Cut other raper's throat. Who said that? @Paedeezy #badd #wicked. #bright city lights,True,False,True,False,False,False,False,False,True,False,False
2017-En-30090,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,False,False,False,False,True,False,False,False,False,False,False
2017-En-31472,"Everyday I wake up, a different @SpursOfficial player signs a contract extension! Love it!! #future #is #bright #COYS",False,True,False,False,True,True,True,False,False,False,False
2017-En-21609,Good Morning!!!\n\n#leadership #healthcareIT #socialmedia #connector #ceo #writer #AI #EQ #security #bigdata #Growthhacking #tech #fear,False,False,False,True,False,False,False,False,False,False,False
2017-En-20379,@peacexxanna your nightmare,True,False,True,True,False,False,False,False,False,False,False
2017-En-10263,@carefreeash_ id be fuming,True,False,True,False,False,False,False,False,False,False,False
2017-En-10984,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,True,False,True,False,False,False,False,False,False,False,False
2017-En-10873,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",True,False,False,False,False,False,False,False,False,False,False
2017-En-40973,@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,False,False,False,False,False,False,False,False,True,True,False
2017-En-21910,@BouchetPetersen @libe @dom_albertini @DavidDoucet Imposuture intellectuelle ! #préjugés #intolérance #personnalitéAutoritaire #intimidation,False,False,False,False,False,False,False,False,False,False,False
2017-En-10309,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.  ,True,False,True,False,False,False,False,False,False,False,False
2017-En-40501,@raylewis name change Uncle Remus Lewis #foh #theydontlikeyoueither  #unwoke,False,False,True,False,True,False,False,False,True,False,False
2017-En-41129,I wish I could live in y'all reality where i can grieve over people i never met. To bad i got BROTHERS dying left and right .,True,False,True,False,False,False,False,True,True,False,False
2017-En-20053,@RoseTintMyWorId fucking hell mate absolute nightmare 😓,True,False,True,True,False,False,False,False,False,False,False
2017-En-31211,"@AiringOutMyScro \n\n'We'll see, once you're a few drinks in.' \n\nA playful wink is passed to him and, as they pull up into the small lot of -",False,True,False,False,True,False,True,False,False,False,False
2017-En-31516,Want Darren to open the video so he can appreciate my hilarity,False,True,False,False,True,False,False,False,False,False,False
2017-En-21388,@PARISDENNARD why should I listen to someone with a tie like that? #awful,True,False,True,False,False,False,False,False,False,False,False
2017-En-31095,Manchester United v Manchester City #happy days #EFL,False,False,False,False,True,False,False,False,False,False,False
2017-En-31265,After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞,False,False,True,False,True,False,False,True,True,False,False
2017-En-30963,Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,False,False,False,False,True,True,False,False,False,False,False
2017-En-20123,When you arrive at the office the day before your first ever festival and the Internet is down #panic,False,False,False,True,False,False,False,False,True,False,False
2017-En-31213,@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️,False,False,False,False,True,True,False,False,False,False,False
2017-En-41402,Never let the sadness of your past ruin your future,False,False,False,False,False,False,True,False,True,False,False
2017-En-31369,Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool,False,False,False,False,True,False,False,False,False,False,False
2017-En-41479,Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober,True,False,True,False,False,False,False,False,True,False,False
2017-En-30422,Watch this amazing live.ly broadcast by @jaredhorgan #lively #musically,False,False,False,False,True,False,True,False,False,False,False
2017-En-20774,@Nxrthstxr I think it's the daunting fact of the typical offer being those grades. Even though it's been proven not to be the case exactly,True,False,False,False,False,False,False,True,False,True,False
2017-En-40691,"“Optimism may sometimes be delusional, but pessimism is always delusional.” —Alan Cohen #believe",False,False,False,False,False,False,True,False,False,False,False
2017-En-21816,@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid,False,False,False,True,False,False,False,False,False,False,False
2017-En-30567,Bring back the heyday #NominateBunkface,False,False,False,False,True,False,False,False,False,False,False
2017-En-41223,"@KhaleesiofFood @BB_Updates she has stayed off the block almost all season, got out people that were good for her game, but no one seemed",False,True,True,False,False,False,False,False,False,False,False
2017-En-40299,Gaaaaaaaad! Should have stayed in London!,True,False,True,False,False,False,False,False,True,False,False
2017-En-11511,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended,True,False,True,False,False,False,False,False,False,False,False
2017-En-10299,@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. ,True,False,True,False,False,False,False,False,True,False,False
2017-En-30270,#smile is the #respect we give everyone.,False,False,False,False,True,False,True,False,False,False,False
2017-En-11091,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),False,True,False,False,True,False,True,False,False,False,False
2017-En-10672,@wcsportscamp I lol'ed.  Privileged exasperation should be bottled and sold.,True,False,True,False,True,False,False,False,False,False,False
2017-En-40987,@ashleighjessica @zacflint1 I'd give that pout the firm D,False,False,False,False,True,False,False,False,False,False,False
2017-En-21327,"Shame on you @SkyNews showing an elephant being hunted and killed, ",True,False,True,False,False,False,False,False,True,False,False
2017-En-11094,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,True,False,True,False,False,False,False,False,False,False,False
2017-En-20950,They used to laugh at her coz she couldn't afford a junky now they stare in awe while she is winning.,False,True,False,False,True,True,True,False,False,False,False
2017-En-10470,British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!,False,False,False,False,False,False,False,False,False,False,False
2017-En-10568,"@SageHillfarms @HintonAlisa @hb_heather Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?",True,True,False,False,False,False,False,False,False,False,False
2017-En-11144,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",True,False,False,False,False,False,False,False,False,False,False
2017-En-10051,People fuckin irritate me,True,False,True,False,False,False,False,False,True,False,False
2017-En-30037,the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚,False,False,False,False,True,True,True,False,False,False,False
2017-En-21271,@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom ,True,False,True,False,False,False,False,False,True,False,False
2017-En-21616,"Friday is here, and we are open tonight and tomorrow. Get a jump on your Halloween and come play with us. #hauntedattraction #tulsa #haunt",False,False,False,False,True,False,False,False,False,False,False
2017-En-30295,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,False,False,False,False,True,False,True,False,False,False,False
2017-En-40311,*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline,False,False,False,False,False,False,False,True,True,False,False
2017-En-10266,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,True,False,True,True,False,False,False,False,True,False,False
2017-En-31152,"You dont have to feel grateful to be grateful, for it is written  ' all things work together for good'  for those who love God. #cheerful",False,False,False,False,True,True,True,False,False,False,True
2017-En-10135,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,True,False,True,False,False,False,False,False,False,False,False
2017-En-11203,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage,True,False,True,False,False,False,False,False,False,False,False
2017-En-30094,@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.,False,False,False,False,True,False,False,False,False,False,False
2017-En-31135,Skiving #Freshers2016 for a me day! #nails #sunbeds and #gym 😉💜👑 #priorities #student #studentnurse #pampered #happy,False,False,False,False,True,False,True,False,False,False,False
2017-En-40521,@duncantrussell does Remo Williams ever actually 'save' anyone or does he just sulk around killing random undesirables ?,True,False,True,False,False,False,False,False,False,False,False
2017-En-40655,"@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~",False,True,False,False,False,False,False,False,True,False,False
2017-En-10994,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",True,False,False,False,True,False,False,False,False,False,False
2017-En-40263,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla,False,False,False,False,False,False,False,True,True,False,False
2017-En-21621,On the drive home today I heard a censored version of Spirits by The Strumbellas. 'Guns' replaced with 'dreams'. Just NO.  #censorship,True,False,True,False,False,False,True,False,False,False,False
2017-En-20289,"@PanicAtTheDisco hey, y'all announced it like immediately after I asked. Nice. Thanks y'all #panic",False,False,False,True,False,False,False,False,False,False,False
2017-En-31598,Will WHU be old bill free by the time the game with Chelsea comes around? 😂 😂 😂\nThat will be lively to say the least\n#AFC,False,False,False,False,True,False,False,False,False,False,False
